velocity_ms,range_m,elevation_mil,drift_mil
544,13800.0,628.0,20.7
286,2800.0,187.9,3.7
453,5700.0,206.0,4.9
346,5800.0,1229.5,84.5
320,6600.0,444.0,9.6
453,7000.0,274.5,6.7
544,6700.0,177.5,5.0
247,3800.0,377.9,8.1
346,4800.0,1290.5,129.4
544,2100.0,40.2,1.1
320,1700.0,88.5,1.6
286,2500.0,165.6,3.2
247,500.0,41.3,0.8
453,4100.0,132.9,3.2
659,5800.0,92.4,2.8
247,4100.0,421.0,9.2
320,6300.0,1138.5,56.3
659,12400.0,1214.1,106.4
380,1200.0,45.0,0.9
659,3900.0,55.2,1.6
544,3000.0,60.9,1.6
544,10900.0,386.9,11.3
453,8800.0,386.4,9.8
346,500.0,21.5,0.4
346,4200.0,214.7,4.3
544,11000.0,393.2,11.5
346,1400.0,62.9,1.2
286,5400.0,428.9,9.3
286,4100.0,1252.6,93.6
659,10900.0,1258.0,146.2
380,9700.0,895.8,31.4
453,9100.0,407.8,10.4
453,7400.0,1246.5,103.8
247,4000.0,406.1,8.8
453,10500.0,1047.2,49.6
544,4700.0,107.4,3.0
544,8000.0,1282.3,160.7
346,5000.0,1279.6,116.7
659,15400.0,1089.9,66.2
286,5000.0,1168.3,62.4
380,3900.0,171.0,3.5
453,6900.0,268.9,6.5
346,7300.0,1107.4,53.5
544,12600.0,507.2,15.6
544,13500.0,592.1,19.1
346,2100.0,97.5,1.8
247,2000.0,175.5,3.5
453,8400.0,1195.0,80.4
247,3200.0,1250.0,96.9
544,7200.0,197.9,5.5
380,6300.0,313.6,6.9
544,7500.0,210.6,5.9
659,11300.0,1247.3,132.8
346,7700.0,1065.6,47.3
544,6500.0,169.7,4.7
544,9700.0,317.4,9.1
380,7900.0,436.1,10.2
544,600.0,10.5,0.3
659,11200.0,1250.1,135.9
659,3600.0,50.1,1.5
247,3400.0,326.2,6.8
286,6700.0,666.2,16.9
320,5400.0,1216.8,75.9
544,5800.0,143.8,4.0
659,12000.0,1226.8,114.6
659,2900.0,38.8,1.1
544,3200.0,65.8,1.8
659,17100.0,636.1,23.3
380,5500.0,262.1,5.6
286,5600.0,1098.2,49.5
453,6000.0,221.0,5.3
453,7300.0,1251.2,106.9
544,9000.0,1249.2,119.3
320,7500.0,992.7,36.9
453,4700.0,158.9,3.8
659,14100.0,1151.0,80.7
453,8500.0,366.0,9.2
659,6800.0,115.8,3.6
544,11300.0,412.5,12.2
380,9500.0,628.3,16.8
659,15000.0,461.5,15.6
453,10900.0,1007.1,44.5
544,4000.0,86.9,2.4
247,1800.0,156.4,3.1
286,4300.0,312.9,6.4
346,2300.0,107.8,2.0
320,5900.0,1175.4,64.0
659,900.0,10.8,0.3
659,16800.0,603.9,21.7
320,1200.0,61.3,1.1
286,3700.0,259.7,5.2
659,16500.0,575.4,20.4
659,300.0,3.5,0.1
453,2800.0,82.6,1.9
320,200.0,9.9,0.2
346,200.0,8.5,0.2
380,5800.0,1266.5,108.8
346,4800.0,252.6,5.1
659,8700.0,169.4,5.3
659,11700.0,283.7,9.2
453,11400.0,942.2,37.8
659,11900.0,292.7,9.5
659,2200.0,28.3,0.8
380,6900.0,355.9,8.0
346,6000.0,337.0,7.1
247,3700.0,1192.4,70.0
380,4500.0,203.5,4.3
286,5800.0,481.4,10.7
659,11400.0,270.5,8.7
286,6500.0,607.1,14.7
247,1700.0,147.0,2.9
380,6600.0,334.3,7.4
247,3900.0,391.8,8.4
320,1300.0,66.7,1.2
380,8300.0,1089.4,52.2
380,6800.0,348.6,7.8
659,4500.0,66.1,2.0
659,400.0,4.7,0.1
544,7600.0,215.0,6.0
659,11100.0,1252.8,139.2
380,4900.0,226.3,4.8
659,14200.0,1146.8,79.5
320,7300.0,1023.0,40.0
659,8100.0,151.0,4.7
544,4500.0,101.4,2.8
659,500.0,5.9,0.2
320,4400.0,1286.0,119.2
247,2700.0,246.4,5.0
320,7300.0,530.1,12.1
659,15300.0,481.8,16.4
380,600.0,21.7,0.4
659,16200.0,549.6,19.2
346,5600.0,307.4,6.4
320,4600.0,1273.6,106.7
247,3300.0,1239.3,89.9
453,7700.0,315.3,7.7
453,11700.0,698.6,21.5
659,16800.0,999.5,51.9
346,6100.0,344.7,7.3
380,3800.0,165.7,3.4
544,10500.0,362.7,10.5
659,16900.0,614.2,22.2
453,8600.0,372.7,9.4
247,3100.0,290.7,6.0
453,6100.0,226.1,5.4
659,14200.0,411.7,13.7
320,1600.0,83.0,1.5
659,13100.0,351.0,11.5
659,17800.0,870.6,38.5
659,1800.0,22.7,0.7
380,6200.0,306.9,6.7
544,12100.0,1102.1,64.0
659,4400.0,64.2,1.9
659,17000.0,624.9,22.7
659,12200.0,306.6,9.9
544,4800.0,110.5,3.0
453,100.0,2.5,0.1
286,5900.0,1056.7,43.9
453,8200.0,1206.1,84.3
544,14200.0,690.7,23.8
659,14300.0,1142.5,78.3
286,6000.0,1041.4,42.1
544,6900.0,185.5,5.2
453,9500.0,437.9,11.4
659,6900.0,118.3,3.6
544,10200.0,1200.9,91.4
544,11100.0,1158.1,77.0
544,12000.0,1108.2,65.2
659,17800.0,752.8,29.8
286,5500.0,1110.9,51.5
659,4600.0,68.0,2.0
659,6600.0,110.8,3.4
380,6500.0,327.3,7.2
286,3400.0,234.8,4.7
320,4500.0,263.6,5.1
659,5300.0,81.8,2.5
544,8900.0,1252.8,122.4
286,2600.0,173.0,3.4
346,8400.0,971.6,36.7
346,8300.0,987.6,38.3
659,600.0,7.1,0.2
453,4600.0,154.4,3.7
453,800.0,20.6,0.5
659,10800.0,1260.6,149.9
544,12300.0,1089.4,61.6
453,7800.0,1227.0,93.1
286,3900.0,276.8,5.6
247,4100.0,1137.7,56.7
286,5500.0,441.3,9.6
346,7500.0,1087.2,50.3
659,17300.0,660.6,24.5
