,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,4W,6300,"1138,5","56,3"
,4W,6200,"1148,1","58,1"
,4W,6100,"1157,4",60
,4W,6000,"1166,5",62
,4W,5900,"1175,4",64
,4W,5800,1184,"66,2"
,4W,5700,"1192,5","68,4"
,4W,5600,"1200,8","70,8"
,4W,5500,"1208,9","73,3"
,4W,5400,"1216,8","75,9"
,4W,5300,"1224,5","78,8"
,4W,5200,1232,"81,8"
,4W,5100,"1239,4","85,1"
,4W,5000,"1246,6","88,6"
,4W,4900,"1253,6","92,5"
,4W,4800,"1260,5","96,8"
,4W,4700,"1267,2","101,5"
,4W,4600,"1273,6","106,7"
,4W,4500,"1279,9","112,6"
,4W,4400,1286,"119,2"
,4W,4300,"1291,9","126,8"
,4W,4200,"1297,6","135,3"
,5W,0,0,0
,5W,100,"3,6","0,1"
,5W,200,"7,1","0,1"
,5W,300,"10,6","0,2"
,5W,400,"14,3","0,3"
,5W,500,"17,9","0,4"
,5W,600,"21,7","0,4"
,5W,700,"25,4","0,5"
,5W,800,"29,3","0,6"
,5W,900,"33,1","0,7"
,5W,1000,37,"0,8"
,5W,1100,41,"0,8"
,5W,1200,45,"0,9"
,5W,1300,"49,1",1
,5W,1400,"53,2","1,1"
,5W,1500,"57,4","1,2"
,5W,1600,"61,6","1,3"
,5W,1700,"65,8","1,4"
,5W,1800,"70,1","1,5"
,5W,1900,"74,5","1,5"
,5W,2000,"78,8","1,6"
,5W,2100,"83,3","1,7"
,5W,2200,"87,8","1,8"
,5W,2300,"92,3","1,9"
,5W,2400,"96,9",2
,5W,2500,"101,5","2,1"
,5W,2600,"106,2","2,2"
,5W,2700,"110,9","2,3"
,5W,2800,"115,6","2,4"
,5W,2900,"120,4","2,5"
,5W,3000,"125,3","2,6"
,5W,3100,"130,2","2,7"
,5W,3200,"135,1","2,8"
,5W,3300,"140,1","2,9"
,5W,3400,"145,1",3
,5W,3500,"150,2","3,1"
,5W,3600,"155,3","3,2"
,5W,3700,"160,5","3,3"
,5W,3800,"165,7","3,4"
,5W,3900,171,"3,5"
,5W,4000,"176,3","3,7"
,5W,4100,"181,6","3,8"
,5W,4200,187,"3,9"
,5W,4300,"192,5",4
,5W,4400,198,"4,1"
,5W,4500,"203,5","4,3"
,5W,4600,"209,2","4,4"
,5W,4700,"214,8","4,5"
,5W,4800,"220,5","4,6"
,5W,4900,"226,3","4,8"
,5W,5000,"232,1","4,9"
,5W,5100,238,5
,5W,5200,"243,9","5,2"
,5W,5300,"249,9","5,3"
,5W,5400,256,"5,5"
,5W,5500,"262,1","5,6"
,5W,5600,"268,3","5,8"
,5W,5700,"274,6","5,9"
,5W,5800,"280,9","6,1"
,5W,5900,"287,3","6,2"
